4,5,7,11,8,3,1,-1,12,9,3,7,15,12,15,6,6,11,12,6,10,15,0,4,0,6,5,-1,10,15,6,10,8,7,10,2,1,8,2,7,9,5,12,13,9
9,5,0,6,2,11,12,-1,12,0,5,2,13,13,5,14,6,4,2,0,6,7,14,10,0,13,4,15,11,7,-1,4,9,3,14,15,14,15,15,-1,11,8,12,13,14
8,3,8,5,8,14,2,13,10,12,13,10,13,-1,8,11,7,6,15,9,2,12,7,15,10,4,0,7,9,5,15,8,7,7,6,-1,15,1,15,5,0,8,4,15,12
0,14,10,4,-1,4,-1,13,14,4,14,5,7,8,5,11,12,9,4,13,8,12,14,13,5,14,6,9,12,1,14,6,9,12,13,8,3,12,15,1,11,1,2,15,10
3,11,11,6,13,12,7,3,5,0,12,6,1,5,0,8,-1,4,11,14,5,8,3,2,14,-1,9,6,10,11,0,7,15,12,1,14,13,15,14,3,13,7,4,14,9
3,-1,3,12,14,9,11,6,6,15,15,0,10,15,10,1,10,2,0,11,3,4,5,15,5,-1,9,9,13,7,9,14,14,9,1,1,-1,5,-1,3,11,11,-1,-1,1
5,9,12,12,13,13,12,10,-1,4,0,9,2,8,6,14,9,12,12,11,0,12,5,5,8,13,3,5,15,-1,2,14,1,9,13,15,3,13,5,11,2,11,9,4,8
6,6,4,6,11,14,2,7,11,1,1,7,3,6,14,13,13,13,8,7,4,15,6,15,8,1,13,9,0,2,1,0,5,12,0,15,0,4,12,2,4,0,3,12,2
12,10,9,13,10,11,6,6,10,9,6,14,5,6,9,5,-1,4,10,-1,5,9,1,4,8,8,-1,0,0,4,13,10,10,-1,10,-1,4,-1,6,3,5,9,6,3,14
13,15,5,6,15,2,7,5,11,3,7,8,9,9,6,13,15,-1,9,6,10,8,-1,1,7,1,1,9,7,8,13,4,6,6,9,0,3,0,2,8,4,4,14,-1,-1
2,3,0,10,14,1,14,3,14,3,12,-1,6,11,3,13,2,14,3,2,9,7,3,13,3,12,13,2,4,14,3,15,1,-1,-1,4,1,3,0,15,0,14,15,1,11
6,5,10,7,0,8,14,13,-1,7,-1,-1,11,5,4,6,13,3,2,1,4,9,2,12,8,11,10,6,-1,-1,12,8,1,4,7,13,11,10,5,13,2,14,15,1,6
3,1,-1,14,7,7,0,1,8,2,5,3,4,10,7,5,12,6,12,12,10,1,1,11,14,15,0,3,12,5,-1,14,4,7,10,15,8,11,5,-1,7,7,11,11,12
7,3,11,13,7,12,6,15,5,15,14,5,6,7,0,10,0,-1,4,2,7,11,15,6,0,6,14,2,-1,13,7,12,12,2,11,2,5,8,14,11,15,3,0,14,0
6,14,3,4,9,4,0,10,15,9,6,9,12,11,14,-1,3,7,0,6,7,3,3,11,9,8,0,12,2,0,15,7,8,3,6,5,13,0,9,6,7,2,0,0,5
1,6,13,10,9,12,6,7,-1,10,0,-1,12,12,5,6,11,2,14,10,5,7,8,8,0,-1,-1,4,2,13,2,1,5,13,0,7,3,4,7,4,14,8,0,-1,13
15,5,13,10,14,9,12,-1,8,7,5,5,3,1,11,12,15,11,14,-1,3,-1,12,6,9,12,0,13,9,15,2,-1,1,10,6,0,8,6,12,12,5,15,0,5,7
-1,9,3,10,7,12,3,15,0,14,7,13,8,3,1,10,4,8,8,13,11,8,11,5,5,3,6,13,5,-1,7,7,7,7,9,10,11,9,4,2,12,8,11,1,2
11,15,3,11,4,11,11,14,13,5,9,6,14,6,15,1,11,-1,4,7,7,10,-1,6,11,5,9,2,3,15,1,7,2,1,13,7,14,0,1,8,15,9,9,5,3
10,8,11,4,12,2,10,13,7,11,6,11,4,9,4,12,11,8,2,4,-1,-1,7,3,13,6,13,10,3,1,2,6,1,14,0,8,6,3,5,12,13,15,11,12,10
8,10,9,2,3,2,5,2,4,11,6,8,7,11,4,3,4,10,1,4,0,14,6,14,12,3,12,4,1,13,3,12,10,2,11,6,0,12,9,-1,10,12,10,3,10
1,14,4,2,6,11,-1,6,8,13,3,2,10,7,2,0,11,13,-1,7,11,14,5,7,9,10,11,12,0,6,8,15,7,5,15,12,15,4,1,10,2,12,5,4,5
6,13,8,1,6,3,7,13,2,10,12,4,4,7,14,11,15,6,2,9,10,2,9,12,1,3,12,11,15,1,14,-1,15,8,5,15,14,-1,1,4,11,11,2,2,14
-1,8,0,5,6,12,12,2,10,2,0,2,11,15,15,9,2,11,1,7,15,5,12,10,4,-1,10,6,3,3,7,7,15,-1,-1,6,4,12,8,5,0,5,4,9,5
15,15,4,9,8,10,4,-1,5,0,-1,8,7,0,14,0,7,4,11,-1,1,15,14,0,5,11,15,2,4,1,9,6,12,0,7,3,11,13,5,5,0,5,6,-1,1
12,3,-1,5,9,10,6,7,10,3,11,2,1,-1,3,15,11,12,13,6,11,8,11,9,2,10,-1,14,2,13,11,-1,15,0,13,7,11,3,0,13,11,3,4,10,-1
8,10,2,12,7,15,9,-1,0,14,6,7,10,5,12,12,4,6,4,1,5,-1,8,11,10,14,3,8,13,14,14,14,5,3,0,0,12,7,10,9,8,12,3,6,2
6,0,0,11,12,10,14,13,9,5,6,8,15,5,9,10,8,8,4,9,7,13,15,2,2,2,6,11,2,1,3,6,7,11,1,7,6,11,-1,-1,4,9,-1,-1,8
6,10,2,-1,2,4,-1,13,1,14,1,3,5,12,13,9,7,12,2,15,1,11,-1,11,6,8,-1,2,3,11,11,11,7,8,5,0,1,7,8,8,12,12,0,-1,-1
-1,7,7,11,5,2,-1,8,2,2,10,12,11,9,14,4,7,12,13,-1,7,4,2,-1,10,6,1,9,12,10,1,15,5,8,1,13,5,12,3,13,1,13,13,6,11
4,7,2,3,12,7,14,3,7,8,9,0,5,7,12,1,5,8,2,9,1,-1,7,13,10,13,2,14,5,8,13,15,6,1,-1,13,4,3,0,3,10,6,12,2,15
2,1,2,1,15,6,5,15,6,0,5,13,11,9,0,11,12,8,9,4,3,13,4,14,15,8,9,12,10,2,3,8,1,8,12,15,13,15,8,9,0,9,3,9,13
2,9,0,11,5,-1,2,0,4,0,3,2,0,2,7,11,0,12,8,15,4,8,8,13,7,15,7,10,10,6,8,6,12,11,12,15,8,10,9,14,14,1,7,-1,12
1,6,-1,13,8,5,9,7,14,9,7,6,8,12,1,8,14,1,15,0,8,5,13,13,13,9,5,12,11,6,5,3,8,2,14,0,1,4,15,12,14,15,13,8,1
0,0
44,44
end
